Id,Title,Definition
2111,Frais de constitution ,"Les frais de constitution sont les dépenses engagées pour créer une entreprise, incluant des honoraires, des frais administratifs et des coûts de publicité.

1. Honoraires d'un avocat pour la rédaction des statuts de l'entreprise.
2. Frais de publication d'annonces légales dans un journal.
3. Coût d'enregistrement de l'entreprise auprès des autorités compétentes.
4. Frais de notaire pour la signature des documents juridiques.
5. Tarifs de l'agence pour le dépôt des documents de création.
6. Coût d'une étude de marché pour évaluer la viabilité de l'entreprise.
7. Frais liés à la création d'un logo ou d'une identité visuelle.
8. Coût d'une assistance comptable pour établir le dossier de création.
9. Frais de location d'un local pour la première réunion de lancement.
10. Coût d'un site internet pour la présence en ligne de l'entreprise.
11. Honoraires pour des conseils fiscaux lors de la création.
12. Dépenses pour des fournitures de bureau nécessaires au démarrage.
13. Frais de transport pour se rendre aux différentes administrations.
14. Coût de logiciels nécessaires à la gestion de l'entreprise dès le début.
15. Frais de formation pour le personnel sur les procédures de l'entreprise."
2112,Frais préalables au démarrage ,"Les frais préalables au démarrage sont les dépenses nécessaires avant le lancement d'une activité, comme le recrutement ou l'organisation d'entretiens d'embauche.

1. Coûts de publicité pour attirer des candidats. 2. Dépenses pour des tests de compétences pour les futurs employés. 3. Frais de location d'un espace pour des entretiens. 4. Honoraires de consultants pour aider à la mise en place de l'équipe. 5. Coûts de formation pour le personnel avant l'ouverture. 6. Dépenses pour la création de matériel de marketing. 7. Frais de déplacement pour rencontrer des candidats potentiels. 8. Coûts liés à la rédaction d'offres d'emploi. 9. Dépenses pour des vérifications de références. 10. Achats de fournitures de bureau nécessaires avant le démarrage. 11. Coûts de création d'un site web ou d'une présence en ligne. 12. Frais d'inscription à des salons ou événements pour le recrutement. 13. Coûts de mise en conformité avec les réglementations avant l'ouverture. 14. Dépenses pour les tests de produits ou services proposés. 15. Honoraires pour des avocats pour la rédaction de contrats de travail."
2113,Frais d'augmentation du capital ,"Les frais d'augmentation du capital sont les coûts liés à l'augmentation du capital social d'une entreprise, tels que les frais de publicité et les honoraires notariaux.

1. Frais de publicité pour annoncer une augmentation de capital. 2. Honoraires d'un notaire pour la rédaction des documents légaux. 3. Coût d'une assemblée générale pour voter l'augmentation de capital. 4. Frais d'enregistrement auprès des autorités compétentes. 5. Coûts de conception et d'impression de brochures d'information pour les investisseurs. 6. Frais de conseil juridique liés à la modification des statuts de l'entreprise. 7. Coût des services d'un expert-comptable pour évaluer l'impact financier. 8. Honoraires pour des analyses de marché concernant l'augmentation de capital. 9. Frais de communication pour informer les actionnaires existants. 10. Coût des plateformes en ligne utilisées pour la collecte de fonds. 11. Frais de rédaction de rapports destinés aux investisseurs. 12. Coût des services de relations publiques pour promouvoir l'augmentation de capital. 13. Honoraires pour des consultants en stratégie financière. 14. Frais de mise à jour du registre des actionnaires. 15. Coût des audits requis avant l'augmentation de capital."
2114,"Frais sur opérations de fusions, scissions et transformations ","Les frais sur opérations de fusions, scissions et transformations sont les coûts engagés lors de la fusion de sociétés, de la séparation d'une société en plusieurs entités ou du changement de leur forme juridique.

1. Coût d'une expertise juridique pour une fusion de deux entreprises.
2. Honoraires d'avocats pour structurer une scission d'entreprise.
3. Dépenses de consultation pour évaluer les impacts fiscaux d'une transformation juridique.
4. Frais d'audit pour vérifier les actifs lors d'une fusion.
5. Coûts de communication pour informer les employés d'une scission.
6. Dépenses liées à la création de nouvelles entités après une scission.
7. Frais d'enregistrement des nouvelles sociétés après transformation.
8. Honoraires pour la rédaction des nouveaux statuts juridiques.
9. Coûts de mise à jour des contrats avec les partenaires commerciaux suite à une fusion.
10. Dépenses pour des études de marché avant une fusion.
11. Frais de formation pour les employés sur la nouvelle structure après une transformation.
12. Coûts liés à l'évaluation des synergies potentielles lors d'une fusion.
13. Dépenses administratives pour la dissolution d'une entité après une scission.
14. Honoraires pour des conseils en stratégie avant une transformation de société.
15. Coûts de marketing pour repositionner une marque suite à une fusion."
2116,Frais de prospection ,"Les frais de prospection sont les coûts engagés pour rechercher de nouveaux clients sur une période prolongée. Ces frais peuvent inclure des dépenses telles que la prospection par téléphone, par email ou lors de réunions.

1. Coûts d'une campagne d'appel téléphonique pour démarcher des clients potentiels.
2. Dépenses pour l'envoi de brochures par courrier à des entreprises ciblées.
3. Frais de participation à des salons professionnels pour rencontrer de nouveaux clients.
4. Coûts liés à la création et à l'envoi de newsletters pour attirer des prospects.
5. Honoraires d'un consultant engagé pour développer une stratégie de prospection.
6. Dépenses pour des publicités en ligne visant à générer des leads.
7. Coûts des outils de gestion de la relation client (CRM) pour suivre les prospects.
8. Frais de location d'une salle pour des réunions avec des clients potentiels.
9. Coûts de formation pour les équipes de vente sur les techniques de prospection.
10. Dépenses pour des échantillons de produits envoyés à des prospects.
11. Frais de création d'une vidéo de présentation pour attirer des clients.
12. Coûts d'un service de messagerie pour envoyer des offres promotionnelles.
13. Dépenses pour l'organisation d'événements de réseautage pour se connecter avec de nouveaux clients.
14. Coûts de développement d'un site web optimisé pour la génération de leads.
15. Frais de création de contenu pour attirer des clients via les réseaux sociaux."
2117,Frais de publicité ,"Les frais de publicité représentent les dépenses engagées pour promouvoir un produit ou un service, souvent réparties sur plusieurs années. Cela peut inclure des coûts liés à des événements, des impressions massives de matériel promotionnel, ou d'autres initiatives marketing.

1. Participation à un salon professionnel pour présenter des produits. 2. Impression et distribution de brochures publicitaires pour un nouveau produit. 3. Création et diffusion d'une campagne publicitaire dans les médias. 4. Organisation d'un événement de lancement avec des frais de location et de catering. 5. Sponsoring d'un événement sportif pour accroître la visibilité de la marque. 6. Publicité sur les réseaux sociaux sur une période prolongée. 7. Production d'une série de vidéos promotionnelles diffusées sur YouTube. 8. Distribution de goodies ou échantillons lors d'une foire commerciale. 9. Création d'affiches et panneaux publicitaires pour une campagne locale. 10. Lancement d'une campagne d'emailing sur plusieurs mois. 11. Partenariat avec des influenceurs pour promouvoir un produit. 12. Réalisation d'une étude de marché avant le lancement d'une nouvelle gamme. 13. Création d'un site web dédié à un produit spécifique. 14. Envoi de newsletters contenant des offres promotionnelles. 15. Réalisation d'une campagne de relations publiques pour améliorer l'image de l'entreprise."
2118,Autres frais préliminaires ,"Les autres frais préliminaires sont des coûts engagés pour établir ou développer une entreprise, que ce soit lors de sa création ou plus tard.

1. Frais de notaire pour la rédaction des statuts de l'entreprise. 2. Honoraires d'un consultant pour un business plan. 3. Coûts de marketing pour le lancement d'un produit. 4. Dépenses pour des études de marché avant l'ouverture. 5. Frais de formation pour les employés nouvellement recrutés. 6. Coûts d'enregistrement de la marque. 7. Dépenses liées à la location d'un local commercial avant l'ouverture. 8. Frais de création de site internet. 9. Coûts d'obtention de licences ou permis nécessaires. 10. Dépenses pour des équipements ou fournitures avant le démarrage de l'activité. 11. Frais de publicité pour annoncer l'entreprise. 12. Coûts administratifs pour la mise en place de la comptabilité. 13. Dépenses pour des services juridiques lors de la création. 14. Frais de participation à des salons professionnels pour se faire connaître. 15. Coûts d'un audit préalable à l'ouverture."
2121,Frais d'acquisition des immobilisations ,"Les frais d'acquisition des immobilisations sont les coûts engagés lors de l'achat d'actifs durables, tels que les frais de mutation, les honoraires et les commissions liés à cette acquisition.

1. Frais de notaire lors de l'achat d'un immeuble commercial. 2. Honoraires d'un agent immobilier pour la vente d'un terrain. 3. Coûts de déménagement d'équipements industriels. 4. Frais d'enregistrement pour une nouvelle machine. 5. Commissions versées à des consultants pour l'achat de matériel informatique. 6. Coût de transport pour livrer des machines à une usine. 7. Frais juridiques pour la rédaction du contrat d'achat d'un véhicule d'entreprise. 8. Taxes de transfert de propriété lors de l'acquisition d'un bâtiment. 9. Coûts d'inspection avant l'achat d'une installation. 10. Honoraires pour l'évaluation d'un actif avant son achat. 11. Coûts de mise en conformité d'un équipement acheté. 12. Frais de publicité pour vendre une immobilisation existante pour en acheter une nouvelle. 13. Coût de formation pour le personnel sur un nouveau système acquis. 14. Frais de certification nécessaires pour un nouvel équipement. 15. Dépenses liées à l'assemblage d'une machine achetée."
2125,Frais d'émission des emprunts ,"Les frais d'émission des emprunts sont les coûts associés à la mise en place d'un emprunt, comme les commissions versées aux intermédiaires financiers. Ces frais doivent être pris en compte lors de l'évaluation du coût total de l'emprunt.

1. Un gouvernement paie des frais juridiques pour rédiger un contrat d'emprunt obligataire. 2. Une entreprise verse des commissions à une banque pour l'émission de ses obligations. 3. Une collectivité locale engage des frais de publicité pour informer le public sur un emprunt municipal. 4. Un promoteur immobilier paie des honoraires à des consultants pour structurer un emprunt. 5. Une société paie des frais de notation de crédit pour obtenir une évaluation de sa solvabilité avant l'émission d'emprunts. 6. Des frais de gestion sont payés à une société de gestion d'actifs pour l'émission d'un emprunt à long terme. 7. Une start-up paie des frais d'évaluation pour déterminer le montant qu'elle peut emprunter. 8. Une entreprise engage des frais d'impression pour produire des prospectus d'émission d'obligations. 9. Un organisme à but non lucratif paie des frais de conseil pour obtenir des conseils sur les meilleures options d'emprunt. 10. Un groupe industriel paie des frais de dépôt pour enregistrer son emprunt auprès des autorités financières. 11. Une entreprise de technologie paie des frais de courtage lors de l'émission de nouvelles actions en tant qu'emprunt. 12. Une collectivité paie des frais de service à un agent de fiducie pour l'émission de ses obligations. 13. Un centre commercial paie des frais de structuration pour créer un emprunt obligataire. 14. Une société de construction engage un consultant pour l'aider à émettre un emprunt à faible coût. 15. Une entreprise de transport paie des frais de placement pour vendre ses obligations sur le marché."
2128,Autres charges à répartir ,"Les autres charges à répartir désignent des frais importants qui ne peuvent pas être entièrement pris en compte dans un seul exercice comptable et doivent donc être étalés sur plusieurs périodes. Cela inclut des coûts comme les primes de remboursement d'obligations ou les dépenses liées à la recherche et au développement.

1. Frais de publicité pour un lancement de produit étalés sur plusieurs mois. 2. Coûts de formation des employés répartis sur plusieurs exercices. 3. Achat d'un logiciel payé d'avance pour une utilisation sur plusieurs années. 4. Rénovation d'un bâtiment dont les coûts sont répartis sur plusieurs exercices. 5. Primes de remboursement pour des emprunts obligataires étalées sur la durée de l'emprunt. 6. Dépenses liées à la recherche et développement d'un nouveau produit sur plusieurs années. 7. Frais de construction d'une usine répartis sur la durée de vie de l'usine. 8. Coût d'un contrat de maintenance payé d'avance pour plusieurs années. 9. Dépenses de marketing pour un événement majeur étalées sur plusieurs mois. 10. Coût d'assurance payé pour une année mais utilisé sur plusieurs exercices. 11. Frais de déplacement pour un projet étalés sur la durée du projet. 12. Coûts de mise en conformité avec des réglementations étalés sur plusieurs exercices. 13. Honoraires d'avocats pour un litige étalés sur la durée du procès. 14. Achats de matériel qui seront utilisés sur plusieurs exercices. 15. Coûts d'un abonnement à un service en ligne étalés sur la durée de l'abonnement."
